"","club","value_eur","Year"
"4129","Real Oviedo",825000,"FIFA 16"
"4130","Clermont Foot 63",725000,"FIFA 16"
"4131","Excelsior",975000,"FIFA 16"
"4132","Independiente Santa Fe",950000,"FIFA 16"
"4133","Norwich City",1100000,"FIFA 16"
"4134","Ternana",1000000,"FIFA 16"
"4135","Unión Española",900000,"FIFA 16"
"4136","Bari",575000,"FIFA 16"
"4137","Motherwell",1000000,"FIFA 16"
"4138","Monterrey",975000,"FIFA 16"
"4139","Wigan Athletic",825000,"FIFA 16"
"4140","Birmingham City",825000,"FIFA 16"
"4141","FC Dallas",550000,"FIFA 16"
"4142","Strømsgodset IF",800000,"FIFA 16"
"4143","KV Kortrijk",325000,"FIFA 16"
"4144","Moreirense FC",900000,"FIFA 16"
"4145","Fulham",775000,"FIFA 16"
"4146","Jeonnam Dragons",975000,"FIFA 16"
"4147","Colo-Colo",800000,"FIFA 16"
"4148","Eskişehirspor",1000000,"FIFA 16"
"4149","Monterrey",775000,"FIFA 16"
"4150","Atiker Konyaspor",825000,"FIFA 16"
"4151","SC Freiburg",800000,"FIFA 16"
"4152","Jaguares de Chiapas",750000,"FIFA 16"
"4153","Kayserispor",650000,"FIFA 16"
"4154","Vitória de Setúbal",450000,"FIFA 16"
"4155","Angers SCO",800000,"FIFA 16"
"4156","Bologna",800000,"FIFA 16"
"4157","Frosinone",1000000,"FIFA 16"
"4158","Atlético de Rafaela",775000,"FIFA 16"
"4159","IFK Göteborg",975000,"FIFA 16"
"4160","Tigres U.A.N.L.",900000,"FIFA 16"
"4161","Patriotas Boyacá FC",325000,"FIFA 16"
"4162","Seattle Sounders FC",725000,"FIFA 16"
"4163","Al Shabab",600000,"FIFA 16"
"4164","Melbourne Victory",825000,"FIFA 16"
"4165","Millwall",800000,"FIFA 16"
"4166","Querétaro",900000,"FIFA 16"
"4167","Jagiellonia Białystok",900000,"FIFA 16"
"4168","Ulsan Hyundai FC",1000000,"FIFA 16"
"4169","FSV Frankfurt",750000,"FIFA 16"
"4170","1. FC Heidenheim 1846",800000,"FIFA 16"
"4171","Sheffield United",875000,"FIFA 16"
"4172","Carpi",1000000,"FIFA 16"
"4173","Seongnam FC",1000000,"FIFA 16"
"4174","Puebla FC",975000,"FIFA 16"
"4175","Arsenal de Sarandí",975000,"FIFA 16"
"4176","Gençlerbirliği SK",800000,"FIFA 16"
"4177","Racing Club de Lens",1000000,"FIFA 16"
"4178","Sporting Kansas City",825000,"FIFA 16"
"4179","Real Sporting de Gijón",825000,"FIFA 16"
"4180","San Jose Earthquakes",950000,"FIFA 16"
"4181","U.N.A.M.",775000,"FIFA 16"
"4182","Blackburn Rovers",825000,"FIFA 16"
"4183","Dijon FCO",975000,"FIFA 16"
"4184","Middlesbrough",825000,"FIFA 16"
"4185","Gimnasia y Esgrima La Plata",950000,"FIFA 16"
"4186","FC Sion",825000,"FIFA 16"
"4187","Avellino",950000,"FIFA 16"
"4188","CD Universidad de Concepción",600000,"FIFA 16"
"4189","UE Llagostera",900000,"FIFA 16"
"4190","Stade Brestois 29",775000,"FIFA 16"
"4191","Córdoba CF",775000,"FIFA 16"
"4192","FC Zürich",1100000,"FIFA 16"
"4193","Eintracht Braunschweig",800000,"FIFA 16"
"4194","Antalyaspor",650000,"FIFA 16"
"4195","Sheffield United",950000,"FIFA 16"
"4196","Vitória de Setúbal",800000,"FIFA 16"
"4197","Perugia",750000,"FIFA 16"
"4198","KV Mechelen",1100000,"FIFA 16"
"4199","New England Revolution",750000,"FIFA 16"
"4200","Kaizer Chiefs",600000,"FIFA 16"
"4201","Ulsan Hyundai FC",900000,"FIFA 16"
"4202","Newell's Old Boys",975000,"FIFA 16"
"4203","CD Mirandés",800000,"FIFA 16"
"4204","Associação Académica de Coimbra",750000,"FIFA 16"
"4205","SK Rapid Wien",825000,"FIFA 16"
"4206","UD Almería",775000,"FIFA 16"
"4207","Brighton & Hove Albion",1000000,"FIFA 16"
"4208","VfL Wolfsburg",875000,"FIFA 16"
"4209","União da Madeira",725000,"FIFA 16"
"4210","Terek Grozny",825000,"FIFA 16"
"4211","Sivasspor",1000000,"FIFA 16"
"4212","Independiente Santa Fe",650000,"FIFA 16"
"4213","Deportivo Pasto",950000,"FIFA 16"
"4214","Atlético Nacional",950000,"FIFA 16"
"4215","FC Dallas",825000,"FIFA 16"
"4216","Toronto FC",825000,"FIFA 16"
"4217","Orlando City SC",800000,"FIFA 16"
"4218","CD Tenerife",650000,"FIFA 16"
"4219","KRC Genk",900000,"FIFA 16"
"4220","Club Atlas",1000000,"FIFA 16"
"4221","Club Atlético Huracán",600000,"FIFA 16"
"4222","FC Paços de Ferreira",875000,"FIFA 16"
"4223","FC Ural Yekaterinburg",950000,"FIFA 16"
"4224","FC Ural Yekaterinburg",825000,"FIFA 16"
"4225","Avellino",675000,"FIFA 16"
"4226","Frosinone",825000,"FIFA 16"
"4227","SD Ponferradina",350000,"FIFA 16"
"4228","Trabzonspor",725000,"FIFA 16"
"4229","Sivasspor",825000,"FIFA 16"
"4230","Deportivo Cali",725000,"FIFA 16"
"4231","CD Lugo",1000000,"FIFA 16"
"4232","Al Fateh",825000,"FIFA 16"
"4233","Atlético de Rafaela",950000,"FIFA 16"
"4234","Çaykur Rizespor",800000,"FIFA 16"
"4235","CD Tondela",875000,"FIFA 16"
"4236","Atlético Nacional",725000,"FIFA 16"
"4237","Once Caldas",800000,"FIFA 16"
"4238","Deportes Iquique",600000,"FIFA 16"
"4239","Atlético Huila",775000,"FIFA 16"
"4240","CD O'Higgins",600000,"FIFA 16"
"4241","Rionegro Águilas",700000,"FIFA 16"
"4242","Once Caldas",700000,"FIFA 16"
"4243","Belgrano de Córdoba",475000,"FIFA 16"
"4244","Odense Boldklub",825000,"FIFA 16"
"4245","Club Atlético Banfield",875000,"FIFA 16"
"4246","FC Paços de Ferreira",800000,"FIFA 16"
"4247","CD Tondela",950000,"FIFA 16"
"4248","Villarreal CF",1700000,"FIFA 16"
"4249","Real Betis",1800000,"FIFA 16"
"4250","FC Porto",1600000,"FIFA 16"
"4251","SK Sturm Graz",1700000,"FIFA 16"
"4252","UE Llagostera",1800000,"FIFA 16"
"4253","FC Porto",1700000,"FIFA 16"
"4254","Audax Italiano",1500000,"FIFA 16"
"4255","AS Monaco",1900000,"FIFA 16"
"4256","Moreirense FC",1600000,"FIFA 16"
"4257","Grasshopper Club Zürich",1700000,"FIFA 16"
"4258","Olympique Lyonnais",1500000,"FIFA 16"
"4259","Granada CF",1700000,"FIFA 16"
"4260","Birmingham City",1500000,"FIFA 16"
"4261","FC Bayern München",1400000,"FIFA 16"
"4262","AS Monaco",1300000,"FIFA 16"
"4263","Real Valladolid CF",1500000,"FIFA 16"
"4264","Newcastle United",1400000,"FIFA 16"
"4265","Grasshopper Club Zürich",1400000,"FIFA 16"
"4266","FC Sion",1400000,"FIFA 16"
"4267","CD Numancia",1300000,"FIFA 16"
"4268","VfB Stuttgart",1200000,"FIFA 16"
"4269","Boca Juniors",1400000,"FIFA 16"
"4270","PFC CSKA Moscow",1400000,"FIFA 16"
"4271","Wigan Athletic",1500000,"FIFA 16"
"4272","Huddersfield Town",1500000,"FIFA 16"
"4273","FC Barcelona",1500000,"FIFA 16"
"4274","FC Porto",1300000,"FIFA 16"
"4275","New York Red Bulls",1200000,"FIFA 16"
"4276","Rio Ave FC",1500000,"FIFA 16"
"4277","Club Atlético Huracán",1500000,"FIFA 16"
"4278","FC Red Bull Salzburg",1500000,"FIFA 16"
"4279","Ajax",1200000,"FIFA 16"
"4280","Southend United",1200000,"FIFA 16"
"4281","Queens Park Rangers",1400000,"FIFA 16"
"4282","Vålerenga Fotball",1200000,"FIFA 16"
"4283","Vitesse",1400000,"FIFA 16"
"4284","Club Brugge KV",1400000,"FIFA 16"
"4285","KRC Genk",1400000,"FIFA 16"
"4286","AS Monaco",1200000,"FIFA 16"
"4287","Estoril Praia",1200000,"FIFA 16"
"4288","Club Atlético Lanús",1200000,"FIFA 16"
"4289","River Plate",1300000,"FIFA 16"
"4290","Envigado FC",1200000,"FIFA 16"
"4291","Aarhus GF",1400000,"FIFA 16"
"4292","Bilbao Athletic",1200000,"FIFA 16"
"4293","Envigado FC",1100000,"FIFA 16"
"4294","New England Revolution",1400000,"FIFA 16"
"4295","Rosenborg BK",1300000,"FIFA 16"
"4296","Brighton & Hove Albion",1200000,"FIFA 16"
"4297","SV Werder Bremen",1300000,"FIFA 16"
"4298","Bolton Wanderers",1200000,"FIFA 16"
"4299","SV Zulte-Waregem",1300000,"FIFA 16"
"4300","União da Madeira",1300000,"FIFA 16"
"4301","Al Ittihad",1400000,"FIFA 16"
"4302","Sporting CP",1200000,"FIFA 16"
"4303","La Equidad",1200000,"FIFA 16"
"4304","Independiente Santa Fe",1200000,"FIFA 16"
"4305","VfB Stuttgart",1400000,"FIFA 16"
"4306","CA Osasuna",1300000,"FIFA 16"
"4307","Bilbao Athletic",1100000,"FIFA 16"
"4308","FC Ufa",1300000,"FIFA 16"
"4309","Guadalajara",1100000,"FIFA 16"
"4310","Real Sporting de Gijón",1300000,"FIFA 16"
"4311","Hull City",1100000,"FIFA 16"
"4312","Bristol City",1100000,"FIFA 16"
"4313","NEC Nijmegen",1100000,"FIFA 16"
"4314","Palermo",1300000,"FIFA 16"
"4315","FC Girondins de Bordeaux",1300000,"FIFA 16"
"4316","Lazio",1100000,"FIFA 16"
"4317","Frosinone",1300000,"FIFA 16"
"4318","Stade Rennais FC",1100000,"FIFA 16"
"4319","PAOK",1300000,"FIFA 16"
"4320","AS Saint-Étienne",1100000,"FIFA 16"
"4321","Elche CF",1300000,"FIFA 16"
"4322","Ternana",1100000,"FIFA 16"
"4323","Panathinaikos FC",1100000,"FIFA 16"
"4324","PAOK",1100000,"FIFA 16"
"4325","Girona FC",1100000,"FIFA 16"
"4326","FC Bayern München",1300000,"FIFA 16"
"4327","1. FC Nürnberg",1300000,"FIFA 16"
"4328","FC Midtjylland",1100000,"FIFA 16"
"4329","Alianza Petrolera",1100000,"FIFA 16"
"4330","Independiente",1300000,"FIFA 16"
"4331","Vitória Guimarães",1100000,"FIFA 16"
"4332","New York Red Bulls",1100000,"FIFA 16"
"4333","FC Red Bull Salzburg",1300000,"FIFA 16"
"4334","IF Elfsborg",1300000,"FIFA 16"
"4335","FC Utrecht",1100000,"FIFA 16"
"4336","Terek Grozny",1300000,"FIFA 16"
"4337","KV Oostende",1100000,"FIFA 16"
"4338","Djurgårdens IF",1300000,"FIFA 16"
"4339","Sint-Truidense VV",1300000,"FIFA 16"
"4340","Antalyaspor",1100000,"FIFA 16"
"4341","Elche CF",1200000,"FIFA 16"
"4342","De Graafschap",1200000,"FIFA 16"
"4343","Real Sporting de Gijón",1000000,"FIFA 16"
"4344","SC Heerenveen",1000000,"FIFA 16"
"4345","Stade Brestois 29",1100000,"FIFA 16"
"4346","Stabæk Fotball",1100000,"FIFA 16"
"4347","AZ Alkmaar",1000000,"FIFA 16"
"4348","Pachuca",1200000,"FIFA 16"
"4349","Al Shabab",1100000,"FIFA 16"
"4350","Dijon FCO",1200000,"FIFA 16"
"4351","RSC Anderlecht",1100000,"FIFA 16"
"4352","Eintracht Braunschweig",1100000,"FIFA 16"
"4353","Argentinos Juniors",1200000,"FIFA 16"
"4354","Deportes Iquique",1200000,"FIFA 16"
"4355","AC Ajaccio",1100000,"FIFA 16"
"4356","Real Zaragoza",1000000,"FIFA 16"
"4357","Feyenoord",1000000,"FIFA 16"
"4358","Toulouse Football Club",1100000,"FIFA 16"
"4359","FC Groningen",1200000,"FIFA 16"
"4360","Jeju United FC",1200000,"FIFA 16"
"4361","Queens Park Rangers",1200000,"FIFA 16"
"4362","Molde FK",1200000,"FIFA 16"
"4363","Rosenborg BK",1000000,"FIFA 16"
"4364","Charlton Athletic",1000000,"FIFA 16"
"4365","Molde FK",1000000,"FIFA 16"
"4366","Spezia",975000,"FIFA 16"
"4367","VfL Bochum 1848",1200000,"FIFA 16"
"4368","RCD Mallorca",1100000,"FIFA 16"
"4369","Amkar Perm",975000,"FIFA 16"
"4370","Aalborg BK",1000000,"FIFA 16"
"4371","Fulham",1000000,"FIFA 16"
"4372","Lokomotiv Moscow",1000000,"FIFA 16"
"4373","Krylya Sovetov Samara",1000000,"FIFA 16"
"4374","FC Midtjylland",1000000,"FIFA 16"
"4375","Eintracht Frankfurt",1200000,"FIFA 16"
"4376","Burnley",1000000,"FIFA 16"
"4377","San Jose Earthquakes",975000,"FIFA 16"
"4378","SC Paderborn 07",1000000,"FIFA 16"
"4379","Lechia Gdańsk",1000000,"FIFA 16"
"4380","FC Seoul",1200000,"FIFA 16"
"4381","St. Johnstone FC",1200000,"FIFA 16"
"4382","Club Brugge KV",1200000,"FIFA 16"
"4383","Palermo",1200000,"FIFA 16"
"4384","Roda JC Kerkrade",1000000,"FIFA 16"
"4385","Hellas Verona",1000000,"FIFA 16"
"4386","Audax Italiano",1000000,"FIFA 16"
"4387","Olympiacos CFP",1200000,"FIFA 16"
"4388","GFC Ajaccio",1000000,"FIFA 16"
"4389","LOSC Lille",1200000,"FIFA 16"
"4390","Associação Académica de Coimbra",1000000,"FIFA 16"
"4391","1. FC Union Berlin",1000000,"FIFA 16"
"4392","Cesena",1000000,"FIFA 16"
"4393","AD Alcorcón",1200000,"FIFA 16"
"4394","Dorados de Sinaloa",1200000,"FIFA 16"
"4395","Al Hilal",1000000,"FIFA 16"
"4396","Sampdoria",1000000,"FIFA 16"
"4397","Évian Thonon Gaillard FC",1200000,"FIFA 16"
"4398","Karlsruher SC",1000000,"FIFA 16"
"4399","Guadalajara",1000000,"FIFA 16"
"4400","Audax Italiano",1200000,"FIFA 16"
"4401","CD Antofagasta",1200000,"FIFA 16"
"4402","San Lorenzo de Almagro",1200000,"FIFA 16"
"4403","Belgrano de Córdoba",1000000,"FIFA 16"
"4404","Atlético de Rafaela",1200000,"FIFA 16"
"4405","Pescara",1000000,"FIFA 16"
"4406","Deportivo de La Coruña",1000000,"FIFA 16"
"4407","Jeonbuk Hyundai Motors",1000000,"FIFA 16"
"4408","SK Rapid Wien",1200000,"FIFA 16"
"4409","Atiker Konyaspor",1000000,"FIFA 16"
"4410","FC Girondins de Bordeaux",1000000,"FIFA 16"
"4411","Reading",1100000,"FIFA 16"
"4412","Lech Poznań",950000,"FIFA 16"
"4413","Palermo",1000000,"FIFA 16"
"4414","Sarpsborg 08 FF",1100000,"FIFA 16"
"4415","Unión de Santa Fe",1100000,"FIFA 16"
"4416","FC St. Pauli",1100000,"FIFA 16"
"4417","FC St. Pauli",1200000,"FIFA 16"
"4418","FK Austria Wien",975000,"FIFA 16"
"4419","Chesterfield",1000000,"FIFA 16"
"4420","Derby County",1000000,"FIFA 16"
"4421","FC Zürich",1200000,"FIFA 16"
"4422","Udinese",1100000,"FIFA 16"
"4423","RCD Mallorca",975000,"FIFA 16"
"4424","Perth Glory",975000,"FIFA 16"
"4425","Sporting Kansas City",1000000,"FIFA 16"
"4426","RB Leipzig",975000,"FIFA 16"
"4427","ADO Den Haag",1200000,"FIFA 16"
"4428","SC Heerenveen",975000,"FIFA 16"
"4429","Malmö FF",950000,"FIFA 16"
"4430","SpVgg Greuther Fürth",975000,"FIFA 16"
"4431","Albacete BP",1100000,"FIFA 16"
"4432","Al Ittihad",1000000,"FIFA 16"
"4433","Panathinaikos FC",1000000,"FIFA 16"
"4434","FC Lorient",950000,"FIFA 16"
"4435","IFK Norrköping",1100000,"FIFA 16"
"4436","Junior FC",1200000,"FIFA 16"
"4437","Atlético Nacional",1100000,"FIFA 16"
"4438","Club Atlético Lanús",975000,"FIFA 16"
"4439","Arsenal de Sarandí",1000000,"FIFA 16"
"4440","Colorado Rapids",1000000,"FIFA 16"
"4441","FC Arouca",975000,"FIFA 16"
"4442","Deportes Tolima",975000,"FIFA 16"
"4443","Akhisar Belediyespor",1000000,"FIFA 16"
"4444","Club Tijuana",1200000,"FIFA 16"
"4445","Millwall",1100000,"FIFA 16"
"4446","Frosinone",925000,"FIFA 16"
"4447","FC Ural Yekaterinburg",1100000,"FIFA 16"
"4448","AS Nancy Lorraine",925000,"FIFA 16"
"4449","Randers FC",925000,"FIFA 16"
"4450","Bournemouth",900000,"FIFA 16"
"4451","Houston Dynamo",900000,"FIFA 16"
"4452","Chicago Fire",925000,"FIFA 16"
"4453","Associação Académica de Coimbra",900000,"FIFA 16"
"4454","Blackburn Rovers",950000,"FIFA 16"
"4455","Udinese",925000,"FIFA 16"
"4456","DSC Arminia Bielefeld",950000,"FIFA 16"
"4457","Strømsgodset IF",900000,"FIFA 16"
"4458","New England Revolution",1100000,"FIFA 16"
"4459","Bournemouth",1100000,"FIFA 16"
"4460","Angers SCO",1100000,"FIFA 16"
"4461","Tiburones Rojos de Veracruz",1100000,"FIFA 16"
"4462","Stade Brestois 29",950000,"FIFA 16"
"4463","Elche CF",925000,"FIFA 16"
"4464","Jeonbuk Hyundai Motors",900000,"FIFA 16"
"4465","Hellas Verona",1100000,"FIFA 16"
"4466","BSC Young Boys",925000,"FIFA 16"
"4467","FC Luzern",1100000,"FIFA 16"
"4468","FC Sochaux-Montbéliard",1100000,"FIFA 16"
"4469","Bari",1100000,"FIFA 16"
"4470","CA Osasuna",1100000,"FIFA 16"
"4471","CD Tenerife",1200000,"FIFA 16"
"4472","SK Sturm Graz",950000,"FIFA 16"
"4473","Brøndby IF",1100000,"FIFA 16"
"4474","1. FC Heidenheim 1846",900000,"FIFA 16"
"4475","Heracles Almelo",1100000,"FIFA 16"
"4476","GFC Ajaccio",1100000,"FIFA 16"
"4477","Eskişehirspor",925000,"FIFA 16"
"4478","Terek Grozny",925000,"FIFA 16"
"4479","Santiago Wanderers",925000,"FIFA 16"
"4480","Atlético de Rafaela",1100000,"FIFA 16"
"4481","Club Atlas",1200000,"FIFA 16"
"4482","FC Paços de Ferreira",1100000,"FIFA 16"
"4483","Real Zaragoza",1100000,"FIFA 16"
"4484","Clermont Foot 63",1200000,"FIFA 16"
"4485","Frosinone",950000,"FIFA 16"
"4486","Colorado Rapids",950000,"FIFA 16"
"4487","Esbjerg fB",1000000,"FIFA 16"
"4488","Birmingham City",875000,"FIFA 16"
"4489","Brentford",875000,"FIFA 16"
"4490","Molde FK",875000,"FIFA 16"
"4491","Dijon FCO",850000,"FIFA 16"
"4492","U.N.A.M.",1100000,"FIFA 16"
"4493","Kilmarnock",1000000,"FIFA 16"
"4494","FC Anzhi Makhachkala",875000,"FIFA 16"
"4495","Sporting de Charleroi",900000,"FIFA 16"
"4496","FSV Frankfurt",1100000,"FIFA 16"
"4497","1. FC Kaiserslautern",875000,"FIFA 16"
"4498","Vitória Guimarães",900000,"FIFA 16"
"4499","UE Llagostera",875000,"FIFA 16"
"4500","Cesena",875000,"FIFA 16"
"4501","Çaykur Rizespor",1100000,"FIFA 16"
"4502","Granada CF",900000,"FIFA 16"
"4503","FK Austria Wien",1000000,"FIFA 16"
"4504","Girona FC",1000000,"FIFA 16"
"4505","Kaizer Chiefs",925000,"FIFA 16"
"4506","Viking FK",875000,"FIFA 16"
"4507","FC Groningen",925000,"FIFA 16"
"4508","Gençlerbirliği SK",1000000,"FIFA 16"
"4509","Derby County",875000,"FIFA 16"
"4510","Royal Excel Mouscron",1100000,"FIFA 16"
"4511","Orlando Pirates",900000,"FIFA 16"
"4512","Club Atlético Aldosivi",1100000,"FIFA 16"
"4513","SV Sandhausen",1000000,"FIFA 16"
"4514","FC Lorient",925000,"FIFA 16"
"4515","Kaizer Chiefs",900000,"FIFA 16"
"4516","US Salernitana 1919",1000000,"FIFA 16"
"4517","Panathinaikos FC",925000,"FIFA 16"
"4518","Krylya Sovetov Samara",925000,"FIFA 16"
"4519","New York City FC",875000,"FIFA 16"
"4520","Puebla FC",1100000,"FIFA 16"
"4521","Unión Española",925000,"FIFA 16"
"4522","CD Universidad de Concepción",1000000,"FIFA 16"
"4523","Novara",875000,"FIFA 16"
"4524","SC Paderborn 07",925000,"FIFA 16"
"4525","FC Paços de Ferreira",900000,"FIFA 16"
"4526","Pogoń Szczecin",825000,"FIFA 16"
"4527","Strømsgodset IF",1100000,"FIFA 16"
"4528","Perugia",825000,"FIFA 16"
"4529","Tigres U.A.N.L.",825000,"FIFA 16"
"4530","SS Virtus Lanciano",1000000,"FIFA 16"
"4531","Wolverhampton Wanderers",850000,"FIFA 16"
"4532","ESTAC Troyes",825000,"FIFA 16"
"4533","Bolton Wanderers",1000000,"FIFA 16"
"4534","Huddersfield Town",1000000,"FIFA 16"
"4535","Peterborough United",1000000,"FIFA 16"
"4536","Medipol Başakşehir FK",850000,"FIFA 16"
"4537","SD Ponferradina",800000,"FIFA 16"
"4538","Rubin Kazan",825000,"FIFA 16"
"4539","SV Zulte-Waregem",850000,"FIFA 16"
"4540","NEC Nijmegen",1000000,"FIFA 16"
"4541","PAOK",850000,"FIFA 16"
"4542","KV Kortrijk",850000,"FIFA 16"
"4543","Kasimpaşa SK",850000,"FIFA 16"
"4544","Wisła Kraków",1000000,"FIFA 16"
"4545","TSV 1860 München",850000,"FIFA 16"
"4546","Associação Académica de Coimbra",825000,"FIFA 16"
"4547","Santos Laguna",1000000,"FIFA 16"
"4548","FK Austria Wien",850000,"FIFA 16"
"4549","FC Anzhi Makhachkala",800000,"FIFA 16"
"4550","FC Groningen",900000,"FIFA 16"
"4551","FC Metz",850000,"FIFA 16"
"4552","IFK Norrköping",900000,"FIFA 16"
"4553","Pohang Steelers",800000,"FIFA 16"
"4554","Al Nassr",800000,"FIFA 16"
"4555","Al Nassr",850000,"FIFA 16"
"4556","ADO Den Haag",850000,"FIFA 16"
"4557","SV Darmstadt 98",975000,"FIFA 16"
"4558","Alianza Petrolera",825000,"FIFA 16"
"4559","Jaguares de Córdoba",850000,"FIFA 16"
"4560","Club Atlético Colón",1100000,"FIFA 16"
"4561","Envigado FC",850000,"FIFA 16"
"4562","Club Atlético Huracán",825000,"FIFA 16"
"4563","Racing Club",1000000,"FIFA 16"
"4564","FC Anzhi Makhachkala",825000,"FIFA 16"
"4565","Puebla FC",850000,"FIFA 16"
"4566","Puebla FC",800000,"FIFA 16"
"4567","Pachuca",775000,"FIFA 16"
"4568","Tiburones Rojos de Veracruz",975000,"FIFA 16"
"4569","Bristol City",800000,"FIFA 16"
"4570","Wisła Kraków",925000,"FIFA 16"
"4571","Lillestrøm SK",825000,"FIFA 16"
"4572","Leeds United",975000,"FIFA 16"
"4573","Esbjerg fB",800000,"FIFA 16"
"4574","Lech Poznań",775000,"FIFA 16"
"4575","AS Nancy Lorraine",775000,"FIFA 16"
"4576","Royal Excel Mouscron",800000,"FIFA 16"
"4577","Legia Warszawa",800000,"FIFA 16"
"4578","Cardiff City",975000,"FIFA 16"
"4579","San Jose Earthquakes",1000000,"FIFA 16"
"4580","Al Hilal",775000,"FIFA 16"
"4581","VfL Bochum 1848",850000,"FIFA 16"
"4582","KV Kortrijk",1000000,"FIFA 16"
"4583","Frosinone",775000,"FIFA 16"
"4584","Sporting Kansas City",750000,"FIFA 16"
"4585","Melbourne City FC",775000,"FIFA 16"
"4586","Valenciennes FC",800000,"FIFA 16"
"4587","FC Seoul",1000000,"FIFA 16"
"4588","Córdoba CF",850000,"FIFA 16"
"4589","Wisła Kraków",775000,"FIFA 16"
"4590","Willem II",1000000,"FIFA 16"
"4591","Trapani",975000,"FIFA 16"
"4592","KV Mechelen",800000,"FIFA 16"
"4593","FC Ufa",775000,"FIFA 16"
"4594","Pogoń Szczecin",775000,"FIFA 16"
"4595","Moreirense FC",800000,"FIFA 16"
"4596","Club León",950000,"FIFA 16"
"4597","Club Atlético Tigre",950000,"FIFA 16"
"4598","Randers FC",950000,"FIFA 16"
"4599","Nottingham Forest",500000,"FIFA 16"
"4600","Bolton Wanderers",110000,"FIFA 16"
"4601","Cruz Azul",0,"FIFA 16"
"4602","Notts County",270000,"FIFA 16"
"4603","FC Nordsjælland",250000,"FIFA 16"
"4604","Nîmes Olympique",120000,"FIFA 16"
"4605","Wisła Kraków",0,"FIFA 16"
"4606","União da Madeira",700000,"FIFA 16"
"4607","Canada",270000,"FIFA 16"
"4608","Malmö FF",550000,"FIFA 16"
"4609","Rosenborg BK",525000,"FIFA 16"
"4610","Strømsgodset IF",325000,"FIFA 16"
"4611","SønderjyskE",575000,"FIFA 16"
"4612","TSG 1899 Hoffenheim",625000,"FIFA 16"
"4613","IFK Norrköping",650000,"FIFA 16"
"4614","Norwich City",650000,"FIFA 16"
"4615","Watford",500000,"FIFA 16"
"4616","Valenciennes FC",700000,"FIFA 16"
"4617","Huddersfield Town",375000,"FIFA 16"
"4618","Derby County",375000,"FIFA 16"
"4619","AIK",375000,"FIFA 16"
"4620","Queens Park Rangers",650000,"FIFA 16"
"4621","Panathinaikos FC",375000,"FIFA 16"
"4622","SpVgg Greuther Fürth",375000,"FIFA 16"
"4623","Frosinone",650000,"FIFA 16"
"4624","Leyton Orient",500000,"FIFA 16"
"4625","Sporting de Charleroi",375000,"FIFA 16"
"4626","GFC Ajaccio",350000,"FIFA 16"
"4627","GFC Ajaccio",725000,"FIFA 16"
"4628","FC Sion",650000,"FIFA 16"
"4629","Heracles Almelo",650000,"FIFA 16"
"4630","CD Tenerife",375000,"FIFA 16"
"4631","Puebla FC",825000,"FIFA 16"
"4632","Milton Keynes Dons",725000,"FIFA 16"
"4633","Stade Rennais FC",550000,"FIFA 16"
"4634","Leicester City",650000,"FIFA 16"
"4635","FC Red Bull Salzburg",650000,"FIFA 16"
"4636","SC Paderborn 07",700000,"FIFA 16"
"4637","Kasimpaşa SK",625000,"FIFA 16"
"4638","Medipol Başakşehir FK",725000,"FIFA 16"
"4639","GwangJu FC",550000,"FIFA 16"
"4640","Brescia",270000,"FIFA 16"
"4641","Chicago Fire",825000,"FIFA 16"
"4642","Frosinone",675000,"FIFA 16"
"4643","SpVgg Greuther Fürth",800000,"FIFA 16"
"4644","FSV Frankfurt",600000,"FIFA 16"
"4645","Bayer 04 Leverkusen",675000,"FIFA 16"
"4646","AZ Alkmaar",650000,"FIFA 16"
"4647","Crystal Palace",500000,"FIFA 16"
"4648","Racing Club de Lens",550000,"FIFA 16"
"4649","Suwon Samsung Bluewings",375000,"FIFA 16"
"4650","Milton Keynes Dons",500000,"FIFA 16"
"4651","Colorado Rapids",625000,"FIFA 16"
"4652","Monarcas Morelia",150000,"FIFA 16"
"4653","CD Universidad de Concepción",500000,"FIFA 16"
"4654","Middlesbrough",625000,"FIFA 16"
"4655","Randers FC",375000,"FIFA 16"
"4656","Argentinos Juniors",70000,"FIFA 16"
"4657","SD Ponferradina",725000,"FIFA 16"
"4658","Atlético de Rafaela",650000,"FIFA 16"
"4659","Club Atlético Lanús",250000,"FIFA 16"
"4660","Nueva Chicago",0,"FIFA 16"
"4661","Club Atlético Huracán",70000,"FIFA 16"
"4662","Club Atlético Aldosivi",525000,"FIFA 16"
"4663","Kayserispor",250000,"FIFA 16"
"4664","Medipol Başakşehir FK",375000,"FIFA 16"
"4665","Spezia",675000,"FIFA 16"
"4666","Deportivo Alavés",290000,"FIFA 16"
"4667","CD Lugo",500000,"FIFA 16"
"4668","CD Tenerife",550000,"FIFA 16"
"4669","Gimnàstic de Tarragona",500000,"FIFA 16"
"4670","Real Oviedo",550000,"FIFA 16"
"4671","Girona FC",575000,"FIFA 16"
"4672","Mordovia Saransk",775000,"FIFA 16"
"4673","Dinamo Moscow",750000,"FIFA 16"
"4674","Lokomotiv Moscow",500000,"FIFA 16"
"4675","Górnik Zabrze",550000,"FIFA 16"
"4676","Perugia",0,"FIFA 16"
"4677","Perugia",650000,"FIFA 16"
"4678","FC Nordsjælland",775000,"FIFA 16"
"4679","KV Oostende",675000,"FIFA 16"
"4680","Melbourne City FC",450000,"FIFA 16"
